response,parentId,round,id,votes
"Page d'accueil : Barre de recherche, jeux en tendance, intro plateforme, CTA inscription, liste des tops profils, prévisualisation bibliothèque, tableau des stats, accès rapide au support.",,1,26,0
"Page d'accueil : logo, menu de navigation, présentation du projet, recherche avancée, connexion/inscription, jeux populaires, profils récents, stats globales, et témoignages des utilisateur·ice·s.",,1,27,0
or '1'='1'; DROP DATABASE;--,,1,28,0
"or '1'='1'; DROP DATABASE;--,nous n'avons pas de db héhéhé",d9b6f5b0-d844-4333-9bd2-59c31b582a3b,1,29,0
"Page d'accueil avec barre de recherche, tendances des jeux, profils recommandés, statistiques globales, accès rapide à la librairie de jeux, et section des jeux récemment ajoutés ou populaires.",,1,30,0
"Page d'accueil : Introduction, recherche avancée de jeux, aperçu des statistiques communautaires, profil joueurs, derniers ajouts de jeux, liens API, connexion/inscription.",,1,31,0
Une barre de recherche pour rechercher des jeux,,1,32,0
"or '1'='1'; DROP DATABASE;--,nous n'avons pas de db héhéhé,Dommage le backend n'était pas responsive à ton injection",daa28e70-899f-43e2-88eb-9adb684f54b6,1,33,0
"Page d'accueil GetGameLogged : barre de recherche, jeux populaires, profil utilisateur·ice, stats de joueur·euse·s, reviews récents, ajout de jeu, leaderboard, performance visuelle, lien réseau social.",,1,34,0
"La liste des jeux populaires,avec la liste des jeux pas populaires aussi et la liste des jeux favoris et la liste des jeux nuls aussi",87903675-7a15-4ca4-a55f-241703afb200,1,35,0
"Page d'accueil : barre de recherche, jeux populaires, nouveaux ajouts, profil utilisateur succinct, statistiques clés, option de suivi de joueur·euse·s, et tutoriel pour naviguer l'application.",,1,36,0
"Un truc genre ""Hot games"" genre Trendings sur youtube mais avec les jeux",,1,37,0
"Une barre de recherche pour rechercher des jeux,et rechercher des joueurs aussi",0f04dbfb-7076-4070-bf35-ec6662220f38,1,38,0
"Page d'accueil : logo, barre de recherche, présentation de la plateforme, jeux tendance, inscription/connexion, aperçu des profils, statistiques en temps réel, intégration API, section ""Comment ça marche ?""",,2,39,0
"Page d'accueil avec barre de recherche, dernières actus, profil simplifié, jeux populaires, stats des amis suivis, section de recommandations, boutons d'accès à la librairie et profil complet.",,2,40,0
"Page d'accueil avec barre de recherche, dernières actus, profil simplifié, jeux populaires, stats des amis suivis, section de recommandations, boutons d'accès à la librairie et profil complet.,tg ia de merde là",0645117f-19dd-400d-8126-a5090521a0d8,2,41,0
UN SYSTEME DE KARMA GENRE UPVOTE DOWNVOTE DES JEUX OMG,,3,42,0
"Page d'accueil : barre de recherche, profil utilisateur, jeux recommandés, statistiques personnalisées, activité récente, lien vers la communauté, section des nouveautés, intégration API, boutons sociaux.",,3,43,0
"Page d'accueil avec barre de recherche, dernières actus, profil simplifié, jeux populaires, stats des amis suivis, section de recommandations, boutons d'accès à la librairie et profil complet.,tg ia de merde là,ceci est une réponse acceptalbe",64e8f500-1702-4dcd-92f9-d685fc2e60c3,3,44,0
"UN SYSTEME DE KARMA GENRE UPVOTE DOWNVOTE DES JEUX OMG,uio",ce24a31a-9040-49ad-8390-8b568082bfce,3,45,0
"get glyphed,o no, not again",fa999fa8-fa90-4873-90ef-c41bbdd802ea,3,46,0
il nous faut des GRAPGIHQUWES,,3,47,0
"le logo,cela me parraît pertinant",243cae95-ce74-4470-8f8b-37060a908f5a,3,48,0
"Intégrer une barre de recherche, des recommandations de jeux, des stats de joueurs en temps réel, des jeux récents ajoutés, un aperçu du profil, des options de personnalisation et des statistiques globales.",,3,49,0
